,speaker,file,word,time,f1,f2,f3,f0,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place
0,it01,it01-001,pugu,1,307.981463958275,796.7977893547101,2280.351430181948,137.3872519606836,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
1,it01,it01-001,pugu,2,315.0813727446863,778.8248186225574,2124.1631436216485,133.872930778516,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
2,it01,it01-001,pugu,3,316.4210236973771,786.1355142053225,2314.3637679669755,133.79293549303037,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
3,it01,it01-001,pugu,4,313.80856328393776,789.3158244099734,2373.979018001232,135.2643859573061,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
4,it01,it01-001,pugu,5,312.8625613205751,737.0157944571795,2306.769983360407,137.17306325650975,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
5,it01,it01-001,pugu,6,305.48264684907605,717.3878036510848,2315.340538512547,138.38684051994525,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
6,it01,it01-001,pugu,7,290.7670635481322,712.6107888932621,2317.545604880684,138.22573425460408,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
7,it01,it01-001,pugu,8,280.0708564103525,733.2694490436943,2308.333077456925,136.89408500015185,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
8,it01,it01-001,pugu,9,286.55556072196947,783.6862638576314,2329.0035906726107,135.65103751885337,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar
9,it01,it01-002,pada,1,651.1349393707468,1118.5149112349131,2154.8210464940703,120.33681353958065,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
10,it01,it01-002,pada,2,731.0185597940101,1214.5689018225528,2190.756604022397,118.74283688548054,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
11,it01,it01-002,pada,3,772.0609570985796,1216.859050300366,2181.102580238066,116.84299718450276,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
12,it01,it01-002,pada,4,775.7535552655202,1224.617233089563,2156.7264694614214,117.19477650090695,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
13,it01,it01-002,pada,5,780.6591699293373,1231.4508606338895,2144.3473372041603,118.84660495144948,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
14,it01,it01-002,pada,6,766.4984165576528,1239.5864342548582,2125.593991405184,120.37076400218749,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
15,it01,it01-002,pada,7,716.0838745922599,1274.327669145576,2111.216765834103,123.09963962198462,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
16,it01,it01-002,pada,8,662.8287449255602,1290.5436623643898,2126.639492598776,124.55586354653536,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
17,it01,it01-002,pada,9,585.686478409092,1275.6643235151664,2132.4578137684,124.8535627323851,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal
18,it01,it01-003,poco,1,487.26352562220734,875.4906836651437,2331.399056085631,122.0900846295317,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
19,it01,it01-003,poco,2,524.8943520967425,912.1756799354024,2342.699128164744,118.15542250073162,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
20,it01,it01-003,poco,3,553.754647649157,913.7913946266316,2337.600451303622,118.26731988531964,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
21,it01,it01-003,poco,4,566.0870360536428,912.3705882092462,2291.8139628541644,117.95916263692769,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
22,it01,it01-003,poco,5,563.4662171801391,899.0400358422813,2210.607230889165,117.69253181616442,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
23,it01,it01-003,poco,6,565.0405020681536,898.4631596624113,2095.835969724162,118.68730210977684,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
24,it01,it01-003,poco,7,550.9625880481352,925.2440108852952,1983.141579829316,120.51714109619375,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
25,it01,it01-003,poco,8,496.31245025045166,918.793651732842,1836.3816411216903,120.26320321165264,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
26,it01,it01-003,poco,9,344.7277311827091,906.4786145581612,1862.384428091252,116.45823647331883,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar
27,it01,it01-004,pata,1,642.8143078905592,1060.5239331520431,2212.492679838962,,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
28,it01,it01-004,pata,2,707.2614375609146,1130.6243232313814,2207.1097976461115,112.042653308173,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
29,it01,it01-004,pata,3,747.7392801091494,1131.3936467334158,2191.831821778691,111.18049757565858,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
30,it01,it01-004,pata,4,748.282431467627,1177.2935820354128,2168.0947883836484,111.28618365773634,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
31,it01,it01-004,pata,5,748.8391122892134,1181.2387725184776,2131.131285143911,112.2327182034641,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
32,it01,it01-004,pata,6,765.3095630007808,1183.6174395946898,2134.0321726430743,114.05163143336134,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
33,it01,it01-004,pata,7,766.3192875434975,1204.3237358454671,2106.009616071602,116.37292877694722,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
34,it01,it01-004,pata,8,694.7871113504467,1242.3798125914109,2108.0217857313464,117.6112619719674,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
